"order_id","customer_id","order_date","order_status","order_purchase_timestamp","order_approved_at","order_delivered_carrier_date","order_delivered_customer_date","order_estimated_delivery_date"
e481f51cbdc54678b7cc49136f2d6af7,"9ef432eb6251297304e76186b10a928d",,delivered,"2017-10-02 10:56:33","2017-10-02 11:07:15","2017-10-04 19:55:00","2017-10-10 21:25:13","2017-10-18 00:00:00"
"53cdb2fc8bc7dce0b6741e2150273451",b0830fb4747a6c6d20dea0b8c802d7ef,,delivered,"2018-07-24 20:41:37","2018-07-26 03:24:27","2018-07-26 14:31:00","2018-08-07 15:27:45","2018-08-13 00:00:00"
"47770eb9100c2d0c44946d9cf07ec65d","41ce2a54c0b03bf3443c3d931a367089",,delivered,"2018-08-08 08:38:49","2018-08-08 08:55:23","2018-08-08 13:50:00","2018-08-17 18:06:29","2018-09-04 00:00:00"
"949d5b44dbf5de918fe9c16f97b45f8a",f88197465ea7920adcdbec7375364d82,,delivered,"2017-11-18 19:28:06","2017-11-18 19:45:59","2017-11-22 13:39:59","2017-12-02 00:28:42","2017-12-15 00:00:00"
ad21c59c0840e6cb83a9ceb5573f8159,"8ab97904e6daea8866dbdbc4fb7aad2c",,delivered,"2018-02-13 21:18:39","2018-02-13 22:20:29","2018-02-14 19:46:34","2018-02-16 18:17:02","2018-02-26 00:00:00"
a4591c265e18cb1dcee52889e2d8acc3,"503740e9ca751ccdda7ba28e9ab8f608",,delivered,"2017-07-09 21:57:05","2017-07-09 22:10:13","2017-07-11 14:58:04","2017-07-26 10:57:55","2017-08-01 00:00:00"
"136cce7faa42fdb2cefd53fdc79a6098",ed0271e0b7da060a393796590e7b737a,,invoiced,"2017-04-11 12:22:08","2017-04-13 13:25:17","","","2017-05-09 00:00:00"
"6514b8ad8028c9f2cc2374ded245783f","9bdf08b4b3b52b5526ff42d37d47f222",,delivered,"2017-05-16 13:10:30","2017-05-16 13:22:11","2017-05-22 10:07:46","2017-05-26 12:55:51","2017-06-07 00:00:00"
"76c6e866289321a7c93b82b54852dc33",f54a9f0e6b351c431402b8461ea51999,,delivered,"2017-01-23 18:29:09","2017-01-25 02:50:47","2017-01-26 14:16:31","2017-02-02 14:08:10","2017-03-06 00:00:00"
e69bfb5eb88e0ed6a785585b27e16dbf,"31ad1d1b63eb9962463f764d4e6e0c9d",,delivered,"2017-07-29 11:55:02","2017-07-29 12:05:32","2017-08-10 19:45:24","2017-08-16 17:14:30","2017-08-23 00:00:00"
e6ce16cb79ec1d90b1da9085a6118aeb,"494dded5b201313c64ed7f100595b95c",,delivered,"2017-05-16 19:41:10","2017-05-16 19:50:18","2017-05-18 11:40:40","2017-05-29 11:18:31","2017-06-07 00:00:00"
"34513ce0c4fab462a55830c0989c7edb","7711cf624183d843aafe81855097bc37",,delivered,"2017-07-13 19:58:11","2017-07-13 20:10:08","2017-07-14 18:43:29","2017-07-19 14:04:48","2017-08-08 00:00:00"
"82566a660a982b15fb86e904c8d32918",d3e3b74c766bc6214e0c830b17ee2341,,delivered,"2018-06-07 10:06:19","2018-06-09 03:13:12","2018-06-11 13:29:00","2018-06-19 12:05:52","2018-07-18 00:00:00"
"5ff96c15d0b717ac6ad1f3d77225a350","19402a48fe860416adf93348aba37740",,delivered,"2018-07-25 17:44:10","2018-07-25 17:55:14","2018-07-26 13:16:00","2018-07-30 15:52:25","2018-08-08 00:00:00"
"432aaf21d85167c2c86ec9448c4e42cc","3df704f53d3f1d4818840b34ec672a9f",,delivered,"2018-03-01 14:14:28","2018-03-01 15:10:47","2018-03-02 21:09:20","2018-03-12 23:36:26","2018-03-21 00:00:00"
dcb36b511fcac050b97cd5c05de84dc3,"3b6828a50ffe546942b7a473d70ac0fc",,delivered,"2018-06-07 19:03:12","2018-06-12 23:31:02","2018-06-11 14:54:00","2018-06-21 15:34:32","2018-07-04 00:00:00"
"403b97836b0c04a622354cf531062e5f","738b086814c6fcc74b8cc583f8516ee3",,delivered,"2018-01-02 19:00:43","2018-01-02 19:09:04","2018-01-03 18:19:09","2018-01-20 01:38:59","2018-02-06 00:00:00"
"116f0b09343b49556bbad5f35bee0cdf","3187789bec990987628d7a9beb4dd6ac",,delivered,"2017-12-26 23:41:31","2017-12-26 23:50:22","2017-12-28 18:33:05","2018-01-08 22:36:36","2018-01-29 00:00:00"
"85ce859fd6dc634de8d2f1e290444043","059f7fc5719c7da6cbafe370971a8d70",,delivered,"2017-11-21 00:03:41","2017-11-21 00:14:22","2017-11-23 21:32:26","2017-11-27 18:28:00","2017-12-11 00:00:00"
"83018ec114eee8641c97e08f7b4e926f","7f8c8b9c2ae27bf3300f670c3d478be8",,delivered,"2017-10-26 15:54:26","2017-10-26 16:08:14","2017-10-26 21:46:53","2017-11-08 22:22:00","2017-11-23 00:00:00"
