"customer_id","total_orders"
"00012a2ce6f8dcda20d059ce98491703",1
"000161a058600d5901f007fab4c27140",1
"0001fd6190edaaf884bcaf3d49edf079",1
"0002414f95344307404f0ace7a26f1d5",1
"000379cdec625522490c315e70c7a9fb",1
"0004164d20a9e969af783496f3408652",1
"000419c5494106c306a97b5635748086",1
"00046a560d407e99b969756e0b10f282",1
"00050bf6e01e69d5c0fd612f1bcfb69c",1
"000598caf2ef4117407665ac33275130",1
"0005aefbb696d34b3424dccd0a0e9fd0",1
"00062b33cb9f6fe976afdcff967ea74d",1
"00066ccbe787a588c52bd5ff404590e3",1
"00072d033fe2e59061ae5c3aff1a2be5",1
"0009a69b72033b2d0ec8c69fc70ef768",1
"000bf8121c3412d3057d32371c5d3395",1
"000e943451fc2788ca6ac98a682f2f49",1
"000f17e290c26b28549908a04cfe36c1",1
"000fd45d6fedae68fc6676036610f879",1
"0010068a73b7c56da5758c3f9e5c7375",1
"001028b78fd413e19704b3867c369d3a",1
"00104a47c29da701ce41ee52077587d9",1
"001051abfcfdbed9f87b4266213a5df1",1
"00114026c1b7b52ab1773f317ef4880b",1
"001226b2341ef620415ce7bbafcfac28",1
"0012a5c13793cf51e253f096a7e740dd",1
"0013280441d86a4f7a8006efdaf1b0fe",1
"0013cd8e350a7cc76873441e431dd5ee",1
"001450ebb4a77efb3d68be5f7887cb1e",1
"00146ad30454993879adaa91c518f68c",1
"00155f0530cc7b2bf73cc3f81cb01c52",1
"001574cd5824c0b1ea90dd4f4ba6d5b8",1
"0015bc9fd2d5395446143e8b215d7c75",1
"0015f7887e2fde13ddaa7b8e385af919",1
"0017a0b4c1f1bdb9c395fa0ac517109c",1
"0018c09f333634ca9c80d9ff46e43e9c",1
"0018f7fde63ca77254dbc47f4ea358b2",1
"0019c9aaad15b043c48f0a1180f22ce8",1
"001a57041f56400917a187dd74e6cbc1",1
"001b4e9b73aa98a6276b241bfd496822",1
"001c7f05398c45b42eee0d5a77783bca",1
"001df1ee5c36767aa607001ab1a13a06",1
"001f150aebb5d897f2059b0460c38449",1
"001f35d9f262c558fd065346fbf5801d",1
"001f6f1a5e902ad14e1f709a7215de11",1
"00205ad9ba1ef4340cef86583294cf82",1
"002236c4f333bc8df6a5939749eb7869",1
"002348c1099e3229276c8ad7d4ddc702",1
"002408f390f729598bbac1ef9421c6ae",1
"002450e9ea44cb90b8a07ba0b197e149",1
